gene_id	symbol	sgd_id	go_id	term_name
YAL059W	ECM1	S000000055	GO:0000054	ribosomal subunit export from nucleus
YAR019C	CDC15	S000000072	GO:0000910	cytokinesis
YAL056W	GPB2	S000000052	GO:0001403	invasive growth in response to glucose limitation
YAL005C	SSA1	S000000004	GO:0002181	cytoplasmic translation
YAL036C	RBG1	S000000034	GO:0002181	cytoplasmic translation
YAL038W	CDC19	S000000036	GO:0005975	carbohydrate metabolic process
YAL038W	CDC19	S000000036	GO:0006091	generation of precursor metabolites and energy
YAL054C	ACS1	S000000050	GO:0006091	generation of precursor metabolites and energy
YAL060W	BDH1	S000000056	GO:0006091	generation of precursor metabolites and energy
YAL015C	NTG1	S000000013	GO:0006259	DNA metabolic process
YAL019W	FUN30	S000000017	GO:0006259	DNA metabolic process
YAL021C	CCR4	S000000019	GO:0006259	DNA metabolic process
YAL027W	SAW1	S000000025	GO:0006259	DNA metabolic process
YAR002W	NUP60	S000000063	GO:0006259	DNA metabolic process
YAR003W	SWD1	S000000064	GO:0006259	DNA metabolic process
YAR007C	RFA1	S000000065	GO:0006259	DNA metabolic process
YAL021C	CCR4	S000000019	GO:0006260	DNA replication
YAR007C	RFA1	S000000065	GO:0006260	DNA replication
YAL015C	NTG1	S000000013	GO:0006281	DNA repair
YAL019W	FUN30	S000000017	GO:0006281	DNA repair
YAR002W	NUP60	S000000063	GO:0006281	DNA repair
YAR007C	RFA1	S000000065	GO:0006281	DNA repair
YAR007C	RFA1	S000000065	GO:0006310	DNA recombination
YAL011W	SWC3	S000000009	GO:0006325	chromatin organization
YAL019W	FUN30	S000000017	GO:0006325	chromatin organization
YAR002W	NUP60	S000000063	GO:0006325	chromatin organization
YAR003W	SWD1	S000000064	GO:0006325	chromatin organization
YAL001C	TFC3	S000000001	GO:0006351	DNA-templated transcription
YAL043C	PTA1	S000000041	GO:0006353	DNA-templated transcription termination
YAL021C	CCR4	S000000019	GO:0006354	DNA-templated transcription elongation
YAL025C	MAK16	S000000023	GO:0006364	rRNA processing
YAL033W	POP5	S000000031	GO:0006364	rRNA processing
YAL035W	FUN12	S000000033	GO:0006364	rRNA processing
YAL001C	TFC3	S000000001	GO:0006383	transcription by RNA polymerase III
YAL020C	ATS1	S000000018	GO:0006399	tRNA metabolic process
YAL033W	POP5	S000000031	GO:0006399	tRNA metabolic process
YAL043C	PTA1	S000000041	GO:0006399	tRNA metabolic process
YAL021C	CCR4	S000000019	GO:0006401	RNA catabolic process
YAL033W	POP5	S000000031	GO:0006401	RNA catabolic process
YAL005C	SSA1	S000000004	GO:0006412	translation
YAL036C	RBG1	S000000034	GO:0006412	translation
YAL003W	EFB1	S000000003	GO:0006414	translational elongation
YAL003W	EFB1	S000000003	GO:0006417	regulation of translation
YAL016W	TPD3	S000000014	GO:0006417	regulation of translation
YAL035W	FUN12	S000000033	GO:0006417	regulation of translation
YAL005C	SSA1	S000000004	GO:0006457	protein folding
YAL053W	FLC2	S000000049	GO:0006457	protein folding
YAL058W	CNE1	S000000054	GO:0006457	protein folding
YAL012W	CYS3	S000000010	GO:0006520	amino acid metabolic process
YAL044C	GCV3	S000000042	GO:0006520	amino acid metabolic process
YAL062W	GDH3	S000000058	GO:0006520	amino acid metabolic process
YAL002W	VPS8	S000000002	GO:0006605	protein targeting
YAL053W	FLC2	S000000049	GO:0006629	lipid metabolic process
YAL012W	CYS3	S000000010	GO:0006790	sulfur compound metabolic process
YAL054C	ACS1	S000000050	GO:0006790	sulfur compound metabolic process
YAL002W	VPS8	S000000002	GO:0006810	transport
YAL005C	SSA1	S000000004	GO:0006810	transport
YAL007C	ERP2	S000000005	GO:0006810	transport
YAL010C	MDM10	S000000008	GO:0006810	transport
YAL014C	SYN8	S000000012	GO:0006810	transport
YAL022C	FUN26	S000000020	GO:0006810	transport
YAL024C	LTE1	S000000022	GO:0006810	transport
YAL026C	DRS2	S000000024	GO:0006810	transport
YAL028W	FRT2	S000000026	GO:0006810	transport
YAL030W	SNC1	S000000028	GO:0006810	transport
YAL042W	ERV46	S000000040	GO:0006810	transport
YAL048C	GEM1	S000000046	GO:0006810	transport
YAL053W	FLC2	S000000049	GO:0006810	transport
YAL059W	ECM1	S000000055	GO:0006810	transport
