gene_id	SRR6357073	SRR6357074	SRR6357075	SRR6357076	SRR6357077	SRR6357078
YAL069W	0	0	1	0	0	0
YAL068W-A	0	0	0	0	0	0
YAL068C	1	10	7	3	5	3
YAL067W-A	0	0	0	0	0	0
YAL067C	2	3	2	1	0	0
YAL066W	0	0	0	0	0	0
YAL065C	0	0	0	0	0	0
YAL064W-B	0	1	2	0	2	2
YAL064C-A	0	0	0	0	0	0
YAL064W	0	1	0	0	0	1
YAL063C-A	1	0	1	0	1	0
YAL063C	7	5	3	3	8	5
YAL062W	4	4	5	4	10	6
YAL061W	17	30	53	31	23	52
YAL060W	53	42	76	51	57	60
YAL059C-A	0	0	0	0	0	0
YAL059W	29	29	17	20	32	30
YAL058W	26	27	22	24	18	19
YAL056C-A	0	1	1	0	0	0
YAL056W	51	58	59	59	57	62
YAL055W	1	8	1	8	1	4
YAL054C	7	3	13	6	5	4
YAL053W	130	116	147	115	115	114
YAL051W	60	64	51	34	50	52
YAL049C	53	36	42	38	39	40
YAL048C	21	22	23	20	20	21
YAL047W-A	0	0	0	0	0	0
YAL047C	21	20	21	20	23	14
YAL046C	9	8	4	3	14	15
YAL045C	0	0	1	0	0	0
YAL044W-A	8	23	10	12	18	13
YAL044C	75	91	67	48	80	65
YAL043C	69	64	65	64	56	54
YAL042C-A	0	0	0	0	0	0
YAL042W	148	140	167	152	127	114
YAL041W	63	68	63	68	81	68
YAL040C	44	32	62	34	49	70
YAL039C	17	20	22	12	8	16
YAL038W	6205	6454	6822	5894	5857	6004
YAL037C-B	0	1	2	1	1	3
YAL037C-A	1	0	0	1	0	0
YAL037W	7	8	4	5	7	6
YAL036C	62	80	82	63	64	66
YAL035W	459	445	411	411	478	409
YAL034C-B	0	0	0	0	0	0
YAL034W-A	2	10	13	8	8	5
YAL034C	15	22	25	22	9	21
YAL033W	11	9	20	12	12	18
YAL032C	14	15	23	17	13	20
YAL031W-A	0	0	0	0	0	0
YAL031C	40	29	48	39	25	26
YAL030W	17	19	29	18	25	23
YAL029C	171	168	190	177	170	160
YAL028W	6	6	13	9	7	18
YAL027W	11	9	14	12	4	6
YAL026C-A	5	6	5	8	2	5
YAL026C	155	138	146	119	153	148
HRA1	1	0	0	0	0	0
YAL025C	30	31	32	24	31	22
YAL024C	47	51	48	47	48	44
YAL023C	326	356	303	318	342	293
YAL022C	36	40	42	40	35	36
YAL021C	104	112	96	111	117	125
YAL020C	9	4	15	14	16	11
YAL019W-A	0	0	0	0	0	0
YAL019W	110	116	115	100	99	110
YAL018C	0	0	0	0	0	0
YAL017W	119	95	106	96	106	127
YAL016C-B	0	0	0	0	0	0
YAL016C-A	0	0	0	0	0	0
YAL016W	159	148	179	155	132	145
YAL015C	11	16	11	12	11	13
YAL014C	19	19	25	19	25	23
YAL013W	18	22	15	10	11	13
YAL012W	268	310	284	290	280	262
YAL011W	23	21	16	12	14	13
YAL010C	16	16	20	14	24	25
YAL009W	18	9	14	21	22	6
YAL008W	23	22	16	16	16	12
YAL007C	88	96	102	71	73	72
tP(UGG)A	0	0	0	0	1	0
YAL005C	5374	5331	5949	5991	5743	6409
YAL004W	0	0	0	1	0	1
YAL003W	942	934	1062	812	808	882
snR18	2	6	5	2	1	7
YAL002W	29	42	38	36	36	37
YAL001C	66	44	66	52	54	57
YAR002W	64	48	71	64	57	54
YAR002C-A	86	74	104	86	97	88
YAR003W	17	14	23	26	21	14
YAR007C	64	61	69	66	48	60
YAR008W	14	12	14	14	8	6
YAR009C	15778	15686	15245	16631	16563	15806
YAR010C	6606	6681	6269	6890	6850	6825
tA(UGC)A	1	0	0	0	0	0
YAR014C	67	85	88	61	71	53
YAR015W	80	108	80	63	76	56
YAR018C	13	15	16	23	15	16
YAR019C	34	30	41	18	28	33
YAR019W-A	0	0	0	0	0	0
YAR020C	3	2	0	0	1	2
YAR023C	0	6	1	3	4	4
tL(CAA)A	1	0	0	0	0	1
tS(AGA)A	0	0	0	0	0	0
YAR027W	46	42	59	33	33	43
YAR028W	17	32	42	22	22	16
YAR029W	1	5	1	3	1	4
YAR030C	0	0	0	2	0	1
YAR031W	13	15	28	18	12	8
YAR033W	11	10	16	3	14	11
YAR035W	4	1	6	3	4	3
YAR035C-A	0	0	0	0	0	0
YAR042W	109	95	105	104	114	104
YAR047C	0	1	1	1	0	1
YAR050W	5	6	8	5	5	10
YAR053W	0	0	0	0	1	0
YAR060C	2	4	1	4	2	2
YAR061W	0	0	0	0	0	0
YAR062W	0	1	1	1	0	0
YAR064W	0	0	0	0	0	0
YAR066W	8	7	6	7	6	5
YAR068W	9	14	18	8	13	11
YAR069C	0	0	0	0	1	0
YAR070C	0	0	0	0	1	0
