term,term_name,universe_size,selected_size,term_size,overlap,expected_overlap,fold_enrichment,pvalue,overlap_genes,padj
GO:0002181,cytoplasmic translation,84,1,2,1,0.023809523809523808,42.0,0.02380952380952381,YAL005C,0.27678571428571425
GO:0006412,translation,84,1,2,1,0.023809523809523808,42.0,0.02380952380952381,YAL005C,0.27678571428571425
GO:0070647,protein modification by small protein conjugation or removal,84,1,2,1,0.023809523809523808,42.0,0.02380952380952381,YAL005C,0.27678571428571425
GO:0006457,protein folding,84,1,3,1,0.03571428571428571,28.0,0.03571428571428571,YAL005C,0.27678571428571425
GO:0006913,nucleocytoplasmic transport,84,1,3,1,0.03571428571428571,28.0,0.03571428571428571,YAL005C,0.27678571428571425
GO:0009408,response to heat,84,1,3,1,0.03571428571428571,28.0,0.03571428571428571,YAL005C,0.27678571428571425
GO:0030163,protein catabolic process,84,1,3,1,0.03571428571428571,28.0,0.03571428571428571,YAL005C,0.27678571428571425
GO:0051169,nuclear transport,84,1,3,1,0.03571428571428571,28.0,0.03571428571428571,YAL005C,0.27678571428571425
GO:0055085,transmembrane transport,84,1,5,1,0.05952380952380952,16.8,0.05952380952380952,YAL005C,0.41005291005291
GO:0006950,response to stress,84,1,11,1,0.13095238095238096,7.636363636363636,0.13095238095238096,YAL005C,0.8051948051948052
GO:0009056,catabolic process,84,1,12,1,0.14285714285714285,7.0,0.14285714285714288,YAL005C,0.8051948051948052
GO:0009058,biosynthetic process,84,1,14,1,0.16666666666666666,6.0,0.16666666666666669,YAL005C,0.8611111111111112
GO:0006810,transport,84,1,18,1,0.21428571428571427,4.666666666666667,0.21428571428571427,YAL005C,1.0
GO:0006091,generation of precursor metabolites and energy,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0006259,DNA metabolic process,84,1,7,0,0.08333333333333333,0.0,1.0,,1.0
GO:0006260,DNA replication,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0006281,DNA repair,84,1,4,0,0.047619047619047616,0.0,1.0,,1.0
GO:0006325,chromatin organization,84,1,4,0,0.047619047619047616,0.0,1.0,,1.0
GO:0006364,rRNA processing,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0006399,tRNA metabolic process,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0006401,RNA catabolic process,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0006417,regulation of translation,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0006520,amino acid metabolic process,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0006790,sulfur compound metabolic process,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0006869,lipid transport,84,1,4,0,0.047619047619047616,0.0,1.0,,1.0
GO:0006887,exocytosis,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0006897,endocytosis,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0006970,response to osmotic stress,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0006974,DNA damage response,84,1,4,0,0.047619047619047616,0.0,1.0,,1.0
GO:0007005,mitochondrion organization,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0007010,cytoskeleton organization,84,1,4,0,0.047619047619047616,0.0,1.0,,1.0
GO:0007034,vacuolar transport,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0007059,chromosome segregation,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0007155,cell adhesion,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0007165,signal transduction,84,1,6,0,0.07142857142857142,0.0,1.0,,1.0
GO:0008033,tRNA processing,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0015931,nucleobase-containing compound transport,84,1,3,0,0.03571428571428571,0.0,1.0,,1.0
GO:0016050,vesicle organization,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0016192,vesicle-mediated transport,84,1,9,0,0.10714285714285714,0.0,1.0,,1.0
GO:0016197,endosomal transport,84,1,2,0,0.023809523809523808,0.0,1.0,,1.0
GO:0022607,cellular component assembly,84,1,9,0,0.10714285714285714,0.0,1.0,,1.0
