probe_column,training_anova_score
V1,45.472369779523056
V107,49.48421122989955
V174,36.38123483203708
V187,40.3929597570862
V246,69.33737179559463
V509,35.7827112616646
V545,54.27420222566521
V842,42.77183489586332
V851,36.14826301276007
V1003,57.84656601429311
V1066,35.88986403298807
V1158,36.017085340780426
V1194,53.238145304672315
V1319,46.57862503732442
V1389,87.87988739207573
V1427,35.54411888453108
V1645,42.97289564815676
V1708,40.42932300673469
V1954,62.54313618186985
V1955,75.51173190954913
V2022,36.07071427107365
V2046,37.97140729765861
V2050,52.080189999989045
V2162,40.21456156642686
V2198,35.88065834807297
