sample_index,split
0,train
1,train
2,train
3,train
4,test
5,test
6,train
7,test
8,train
9,train
10,train
11,train
12,test
13,train
14,test
15,train
16,train
17,train
18,train
19,train
20,test
21,train
22,test
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,test
35,train
36,train
37,train
38,train
39,test
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,test
52,train
53,train
54,train
55,train
56,train
57,test
58,train
59,train
60,test
61,test
62,train
63,train
64,test
65,train
66,train
67,train
68,train
69,train
70,test
71,test
72,test
73,test
74,test
75,test
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,test
84,train
85,train
86,test
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,test
95,train
96,train
97,train
98,test
99,test
100,test
101,train
102,train
103,train
104,train
105,train
106,train
107,test
108,train
109,train
110,train
111,test
112,train
113,train
114,train
115,train
116,test
117,train
118,test
119,train
120,test
121,train
122,train
123,test
124,train
125,test
126,train
127,train
128,test
129,train
130,test
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,test
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,test
148,train
149,train
150,train
151,train
152,train
153,train
154,test
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,test
163,train
164,train
165,train
166,train
167,train
168,train
169,test
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,test
178,train
179,test
180,train
181,test
182,train
183,test
184,train
185,train
186,train
187,train
188,test
189,train
190,test
191,train
192,train
193,test
194,train
195,train
196,test
197,train
198,test
199,train
200,train
201,train
202,test
203,train
204,train
205,test
206,train
207,test
208,test
209,train
210,train
211,train
212,train
213,train
214,train
215,test
216,test
217,train
218,test
219,test
220,train
221,test
222,test
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,test
245,test
246,train
247,train
248,train
249,train
250,test
251,train
252,train
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,test
268,train
269,test
270,train
271,train
272,train
273,train
274,train
275,test
276,test
277,test
278,train
279,train
280,test
281,test
282,test
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,test
295,train
296,test
297,train
298,train
299,train
300,train
301,train
302,train
303,train
304,test
305,train
306,train
307,train
308,test
309,test
310,test
311,train
312,train
313,train
314,test
315,train
316,train
317,train
318,test
319,train
320,train
321,test
322,train
323,train
324,train
325,test
326,train
327,train
328,train
329,test
330,train
331,train
332,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,test
344,train
345,test
346,test
347,test
348,test
349,test
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,test
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
371,test
372,train
373,train
374,train
375,test
376,train
377,train
378,train
379,train
380,train
381,test
382,train
383,test
384,train
385,test
386,test
387,test
388,train
389,train
390,train
391,train
392,train
393,test
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,train
403,train
404,test
405,train
406,train
407,train
408,train
409,train
410,test
411,test
412,train
413,train
414,train
415,train
416,train
417,train
418,test
419,train
420,test
421,train
422,train
423,train
424,train
425,train
426,train
427,train
428,test
429,test
430,train
431,train
432,train
433,test
434,train
435,train
436,train
437,train
438,test
439,train
440,test
441,train
442,test
443,train
444,train
445,train
446,train
447,test
448,test
449,train
450,train
451,test
452,train
453,train
454,train
455,test
456,test
457,train
458,train
459,test
460,train
461,train
462,train
463,train
464,test
465,train
466,train
467,test
468,test
469,test
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,train
479,test
480,test
481,train
482,train
483,test
484,train
485,train
486,train
487,test
488,train
489,train
490,train
491,train
492,train
493,train
494,train
495,train
496,train
497,test
498,train
499,train
500,train
501,train
502,test
503,test
504,train
505,test
506,test
507,train
508,train
509,train
510,train
511,test
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,test
523,train
524,train
525,train
526,train
527,train
528,test
529,test
530,test
531,train
532,train
533,test
534,test
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,train
545,train
546,train
547,train
548,test
549,train
550,train
551,train
552,train
553,test
554,test
555,train
556,test
557,train
558,train
559,train
560,test
561,train
562,test
563,test
564,train
565,train
566,train
567,train
568,test
