gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0003360,4342.832061548302,-3.126592254957647,0.1102482885182874,-28.359553667257376,6.381636121768094e-177,5.349087397266016e-173
FBgn0039155,730.5676725565944,-4.619900224562977,0.166044835116105,-27.8232094441996,2.2728269253140692e-170,9.525417643991264e-167
FBgn0026562,43909.44438353136,-2.477764236172621,0.08925377433764425,-27.76089027674411,1.2874368249450837e-169,3.597098488896564e-166
FBgn0025111,1501.447929574197,2.852106918969606,0.10455297672617073,27.279059939531052,7.5168682725829e-164,1.5751597465197466e-160
FBgn0029167,3706.0240078547426,-2.1970329412977088,0.0973719558596989,-22.56330297466105,9.941561303484466e-113,1.666603336916136e-109
FBgn0035085,638.219335651327,-2.583174619604378,0.12826057160843501,-20.140052295186376,3.289886180233944e-90,4.59597099378682e-87
FBgn0039827,261.9111697594479,-4.1847368958021995,0.2136837942942097,-19.583782240596406,2.1263049919421842e-85,2.5460983489227694e-82
FBgn0034736,225.87067160566048,-3.535018707459942,0.2019272225860902,-17.50639989094493,1.280400803581028e-68,1.341539941952022e-65
FBgn0000071,342.2464877254556,2.6214086538077024,0.15577115455822074,16.828588458769683,1.5065092198055106e-63,1.4030622533788656e-60
FBgn0029896,489.87724661905855,-2.4427529489171516,0.14624649735318507,-16.70298429792754,1.2467023981946386e-62,1.0449859501667461e-59
FBgn0038832,301.91136206877854,-2.493871845594176,0.17278816308037298,-14.433117414612152,3.2027164653068527e-47,2.440469946563822e-44
FBgn0034897,892.4851554734494,-1.933896986136004,0.1409473095143342,-13.720708772658966,7.631570436051376e-43,5.330651949581886e-40
FBgn0035189,215.65494817164108,2.8904494717953138,0.212811182883226,13.582225485684953,5.10513464990619e-42,3.2916337411933604e-39
FBgn0040091,1106.5089512849445,-1.575477785190201,0.11718594287491599,-13.444255740399363,3.3273668987348956e-41,1.992142096085421e-38
FBgn0034434,114.62334444646193,-3.65096742866727,0.271818415149979,-13.431641217732825,3.945687378339846e-41,2.2048501070163057e-38
FBgn0037754,269.747253760138,-2.259314213720923,0.171778258419855,-13.152503899525973,1.6463096825682855e-39,8.624604849554605e-37
FBgn0027279,2954.90726348927,-1.1826056089365948,0.09339867983518316,-12.661909258497987,9.613254865894926e-37,4.739900134466546e-34
FBgn0001226,1323.9094361999903,1.6657975001711491,0.13188868153718347,12.630329462361859,1.4367541941203172e-36,6.6904853639536106e-34
FBgn0051092,153.068561614784,2.3165379218733584,0.1837242096613178,12.60877881115247,1.888972562816942e-36,8.333351590279794e-34
FBgn0261552,5128.615893570697,-1.868771996139065,0.14850755273036306,-12.58368319847066,2.5963617892230688e-36,1.0881352258633882e-33
FBgn0003501,277.46080995299747,2.1323066460819686,0.16989374108715957,12.550825194837778,3.933889000845612e-36,1.570183695480377e-33
FBgn0040099,910.0825760203599,-1.7477230509947257,0.1396733931949986,-12.51292755918604,6.344217386505116e-36,2.417146824258449e-33
FBgn0023479,3091.78196454293,-1.5321963271139043,0.12612073310802818,-12.148647485275145,5.832243044941694e-34,2.125472226204403e-31
FBgn0052407,187.05016791366106,-2.169663432613418,0.18005819252309782,-12.04979013845812,1.9444435601709562e-33,6.790969133897065e-31
FBgn0039419,1564.280995708343,-1.1669813812890573,0.09846202712394268,-11.852095832031537,2.0987516439661374e-32,7.036694511889664e-30
FBgn0033913,5212.961765389168,-1.1694759837235598,0.10121790098296368,-11.554043033557852,7.042761769755052e-31,2.2704780443879556e-28
FBgn0040827,215.97986808671408,-1.9742183678161962,0.17163763255112632,-11.502246555563092,1.2852592421271682e-30,3.9900159138925648e-28
FBgn0031150,795.3759148956331,1.2426358309252574,0.10837489805369789,11.466085350406077,1.9529566983085925e-30,5.846315373293793e-28
FBgn0033764,65.20592801895894,3.418877117360917,0.304176782048272,11.239770157139576,2.6005854198535797e-29,7.516588616969899e-27
FBgn0034010,547.2401491209614,-1.4628404858463004,0.13174174766894362,-11.10384909666069,1.2015527615759835e-28,3.357138415843298e-26
FBgn0001224,598.9320073470515,1.468216201424534,0.13339787998569302,11.00629336524689,3.5636524532410114e-28,9.635656407440696e-26
FBgn0003748,1095.974186875616,1.1000851164465038,0.1011276632707273,10.878181902626219,1.4645487753877375e-27,3.836202448531255e-25
FBgn0051363,7162.512535554243,0.9663219625624206,0.08902878385264175,10.854039791915534,1.9080154891705464e-27,4.846359342493188e-25
FBgn0031912,1318.332252281381,-1.11929950025334,0.10403222450149116,-10.759161458066258,5.365616977791903e-27,1.3227823972897568e-24
FBgn0035147,19322.70130200774,-1.1766623006660284,0.11037143545122385,-10.660931389136708,1.5503695757248233e-26,3.712913652492991e-24
FBgn0032405,79.61599061201737,2.656191531474353,0.24971850506016344,10.636742883089143,2.0103440328505388e-26,4.6807510231536714e-24
FBgn0011260,211.12967824679077,2.159438287749086,0.20320216901186394,10.627043491957053,2.2307226248208796e-26,5.053491092229355e-24
FBgn0063649,646.1924111018664,-1.2946192546235884,0.12300271483954071,-10.525127484482297,6.617180948506708e-26,1.4596108081679794e-23
FBgn0085359,68.6061082175759,-4.895000861314474,0.472452922356891,-10.36082248554024,3.7373434011772033e-25,8.032413432991621e-23
FBgn0016715,150.87248603818256,-2.0080485705921096,0.19476602551370628,-10.310055695267021,6.346453136684078e-25,1.3298992547921487e-22
FBgn0034751,16640.845983733925,-1.0843003081729943,0.10655812366441175,-10.175670055788798,2.5464133084628966e-24,5.205862524764878e-22
FBgn0037468,3146.692458759181,0.9664084846650495,0.09515692864959996,10.155944484333798,3.1177659736801797e-24,6.222170093187444e-22
FBgn0039109,475.4038468777345,-1.2851958856906567,0.12674263079117196,-10.140202058833822,3.663410378837451e-24,7.141094371026864e-22
FBgn0261362,5796.451652953047,1.4911681400046963,0.1478679199685589,10.084460106842396,6.471998737261664e-24,1.232915759448347e-21
FBgn0024288,58.849487525344195,-4.622193338073432,0.4623832743750436,-9.996454444250345,1.5795125635130042e-23,2.9421054016368894e-21
FBgn0259715,804.639164765266,-1.8651193611130632,0.1887225984344862,-9.882861811912404,4.9401520995008455e-23,9.001816282177409e-21
FBgn0037290,67.0998167313376,3.085882306972439,0.3126312705727763,9.87067704813645,5.578677913480054e-23,9.949037929955279e-21
FBgn0001225,420.3026292860481,1.3075175960933827,0.13270871868355344,9.852537264045058,6.683505708814388e-23,1.1671071844017124e-20
FBgn0031322,396.80706392568055,-1.489292862091339,0.1520586228324145,-9.794201962046605,1.1923523092636301e-22,2.039652460458724e-20
FBgn0260011,89.27935350544628,2.300520397222731,0.23704116032564607,9.705151603469568,2.866498491620896e-22,4.80539807135327e-20
FBgn0024315,92.0840267409837,-2.293668536453889,0.237918683158917,-9.640556622120512,5.389493438015806e-22,8.857790979891859e-20
FBgn0050147,973.9135419721555,-0.964060123812432,0.10158240128206589,-9.490424636995014,2.3009501781290302e-21,3.708954690976448e-19
FBgn0003137,4518.8903101848,0.9077430239057722,0.09650832090087968,9.405852422176977,5.1610149630005554e-21,8.162193852805783e-19
FBgn0000406,265.5045340864022,-2.0754005675314575,0.22137106504831702,-9.375211557474664,6.903717999824367e-21,1.0716104495282935e-18
FBgn0038149,993.4781298569198,1.0138058137420853,0.10914861984426141,9.288306303722695,1.567628942405177e-20,2.38906650822549e-18
FBgn0053307,1013.5666138598434,-1.4059761374347262,0.15280532041873562,-9.2010941345622,3.543232909834634e-20,5.3034604018274825e-18
FBgn0063498,343.8685234467458,-1.339716898247473,0.14592530070084966,-9.180840415014286,4.2773992022259795e-20,6.290028090010204e-18
FBgn0052135,240.70956763893636,1.3998753816391076,0.15281706692306551,9.160464925974946,5.167420179126899e-20,7.467813093352012e-18
FBgn0052521,2732.8195257767416,-0.9972364879069713,0.11017911783483351,-9.05104803436438,1.416026391471225e-19,2.0117174937816626e-17
FBgn0039464,820.5391321389727,1.0388860570426102,0.11599574550548276,8.956242770072159,3.3592988731322402e-19,4.692940525765739e-17
FBgn0030041,86.87088929132236,-2.8332132072324994,0.3186943713048713,-8.890063528992089,6.107398007660531e-19,8.392165590198453e-17
FBgn0001258,1520.1863383638122,0.8971573176933548,0.10098308876269854,8.88423327792633,6.436310768194541e-19,8.701476912743007e-17
FBgn0039479,175.6812501695555,1.4796199868023563,0.16712632354034807,8.853303031255532,8.496656509734718e-19,1.130459918485657e-16
FBgn0036985,1932.7432342391064,-1.3326869364685436,0.150618132602308,-8.848117510441915,8.900790382992245e-19,1.1657253904725157e-16
FBgn0051642,110.54063539156027,1.969551298416441,0.22401821789493384,8.791924678823106,1.4701932545742938e-18,1.8958707476679585e-16
FBgn0051038,713.1445043676547,-0.9998181819976444,0.11395662982769345,-8.773672786826056,1.7293126291593673e-18,2.1962270390323965e-16
FBgn0002868,100.1299065486068,-2.045616863740843,0.2349513497584185,-8.706555062757399,3.1324982036928963e-18,3.9188955139334113e-16
FBgn0040271,1010.045655262856,0.9270053350962202,0.1067799270784293,8.68145690355585,3.907311118708217e-18,4.816335558384158e-16
FBgn0033367,15324.97100404843,1.3800001931278525,0.1593470867382969,8.660341531027115,4.70352893163374e-18,5.713765145645509e-16
FBgn0023549,216.53797833036518,-1.6177999841929651,0.18729744425648365,-8.637597755885887,5.740733076444605e-18,6.874117806679812e-16
FBgn0030237,2009.226490262792,-0.9484629796632013,0.10996626980089909,-8.625035489340993,6.407278203798294e-18,7.459139708921848e-16
FBgn0031327,756.3879562174349,1.1951838280470028,0.1385638866774122,8.625507386563761,6.380911730622855e-18,7.459139708921848e-16
FBgn0001137,494.0493682831099,-1.228298682817278,0.14253638763151358,-8.617439400756298,6.8467978935520985e-18,7.861624649829273e-16
FBgn0036968,736.401636963549,-0.9597100525544646,0.11173308658830669,-8.589309414592885,8.749360606963175e-18,9.910424406427747e-16
FBgn0039257,521.915451167556,-1.0475299204076576,0.1220679796735446,-8.58152910541441,9.362019205606354e-18,1.0462992664185662e-15
FBgn0032004,961.5757157187154,-1.1470635536179141,0.13412702333435442,-8.55206896494297,1.2090150011373234e-17,1.3334162815175058e-15
FBgn0037153,103.14015636650673,1.8038487285992602,0.21169221974042557,8.521091284370856,1.5805689494423324e-17,1.7205621992500819e-15
FBgn0035765,556.5657200323288,1.028394050479072,0.12124399202735127,8.482020702906896,2.2131617452175015e-17,2.3782976600529614e-15
FBgn0031449,920.6206955904184,-0.8671923468963063,0.10337451603271407,-8.38884069475956,4.9095944530453e-17,5.209141861446292e-15
FBgn0033635,2490.120649666623,1.1856654678462963,0.14187083240379134,8.357358928237394,6.413793258188074e-17,6.7200518862665545e-15
FBgn0000116,658.4011860177925,1.1941964177370075,0.14384314542538273,8.302073861117599,1.0230956583630404e-16,1.0587145442467907e-14
FBgn0037239,747.6637787582657,-0.8834145851018906,0.10660850254371906,-8.28653028626503,1.1660001378328686e-16,1.1918796530872078e-14
FBgn0051523,4596.047808723466,-0.7619170844131,0.09247501132585817,-8.239167246255317,1.7341339350809568e-16,1.751266342632359e-14
FBgn0034885,160.52528665918288,1.5669199383376033,0.19078117799133565,8.213178861956525,2.154083106010595e-16,2.1494672136405722e-14
