orf_id,strand,oriented_start0,frame_offset,segments0,wraps_origin,length_nt_with_stop,length_aa,stop_codon
orf_001,+,16,1,"[[16, 136]]",False,120,39,TGA
orf_002,+,50,2,"[[50, 221]]",False,171,56,TGA
orf_003,+,132,0,"[[132, 393]]",False,261,86,TGA
orf_004,+,229,1,"[[229, 331]]",False,102,33,TAA
orf_005,+,249,0,"[[249, 393]]",False,144,47,TGA
orf_006,+,389,2,"[[389, 848]]",False,459,152,TAA
orf_007,+,567,0,"[[567, 843]]",False,276,91,TGA
orf_008,+,642,0,"[[642, 843]]",False,201,66,TGA
orf_009,+,680,2,"[[680, 848]]",False,168,55,TAA
orf_010,+,714,0,"[[714, 843]]",False,129,42,TGA
orf_011,+,847,1,"[[847, 964]]",False,117,38,TAA
orf_012,+,1000,1,"[[1000, 2284]]",False,1284,427,TGA
orf_013,+,1030,1,"[[1030, 2284]]",False,1254,417,TGA
orf_014,+,1037,2,"[[1037, 1196]]",False,159,52,TAG
orf_015,+,1129,1,"[[1129, 2284]]",False,1155,384,TGA
orf_016,+,1255,1,"[[1255, 2284]]",False,1029,342,TGA
orf_017,+,1262,2,"[[1262, 1388]]",False,126,41,TGA
orf_018,+,1271,2,"[[1271, 1388]]",False,117,38,TGA
orf_019,+,1420,1,"[[1420, 2284]]",False,864,287,TGA
orf_020,+,1448,2,"[[1448, 1553]]",False,105,34,TGA
orf_021,+,1549,1,"[[1549, 2284]]",False,735,244,TGA
orf_022,+,1579,1,"[[1579, 2284]]",False,705,234,TGA
orf_023,+,1598,2,"[[1598, 1775]]",False,177,58,TAG
orf_024,+,1636,1,"[[1636, 2284]]",False,648,215,TGA
orf_025,+,1649,2,"[[1649, 1775]]",False,126,41,TAG
orf_026,+,1652,2,"[[1652, 1775]]",False,123,40,TAG
orf_027,+,1714,1,"[[1714, 2284]]",False,570,189,TGA
orf_028,+,1849,1,"[[1849, 2284]]",False,435,144,TGA
orf_029,+,1990,1,"[[1990, 2284]]",False,294,97,TGA
orf_030,+,1997,2,"[[1997, 2234]]",False,237,78,TGA
orf_031,+,2060,2,"[[2060, 2234]]",False,174,57,TGA
orf_032,+,2072,2,"[[2072, 2234]]",False,162,53,TGA
orf_033,+,2394,0,"[[2394, 2922]]",False,528,175,TGA
orf_034,+,2542,1,"[[2542, 2731]]",False,189,62,TGA
orf_035,+,2551,1,"[[2551, 2731]]",False,180,59,TGA
orf_036,+,2577,0,"[[2577, 2922]]",False,345,114,TGA
orf_037,+,2638,1,"[[2638, 2731]]",False,93,30,TGA
orf_038,+,2826,0,"[[2826, 2922]]",False,96,31,TGA
orf_039,+,2930,2,"[[2930, 3917]]",False,987,328,TAA
orf_040,+,2981,2,"[[2981, 3917]]",False,936,311,TAA
orf_041,+,3068,2,"[[3068, 3917]]",False,849,282,TAA
orf_042,+,3075,0,"[[3075, 3684]]",False,609,202,TGA
orf_043,+,3108,0,"[[3108, 3684]]",False,576,191,TGA
orf_044,+,3123,0,"[[3123, 3684]]",False,561,186,TGA
orf_045,+,3155,2,"[[3155, 3917]]",False,762,253,TAA
orf_046,+,3315,0,"[[3315, 3684]]",False,369,122,TGA
orf_047,+,3339,0,"[[3339, 3684]]",False,345,114,TGA
orf_048,+,3356,2,"[[3356, 3917]]",False,561,186,TAA
orf_049,+,3398,2,"[[3398, 3917]]",False,519,172,TAA
orf_050,+,3431,2,"[[3431, 3917]]",False,486,161,TAA
orf_051,+,3438,0,"[[3438, 3684]]",False,246,81,TGA
orf_052,+,3507,0,"[[3507, 3684]]",False,177,58,TGA
orf_053,+,3516,0,"[[3516, 3684]]",False,168,55,TGA
orf_054,+,3521,2,"[[3521, 3917]]",False,396,131,TAA
orf_055,+,3569,2,"[[3569, 3917]]",False,348,115,TAA
orf_056,+,3614,2,"[[3614, 3917]]",False,303,100,TAA
orf_057,+,3623,2,"[[3623, 3917]]",False,294,97,TAA
orf_058,+,3680,2,"[[3680, 3917]]",False,237,78,TAA
orf_059,+,3741,0,"[[3741, 3930]]",False,189,62,TGA
orf_060,+,3783,0,"[[3783, 3930]]",False,147,48,TGA
orf_061,+,3795,0,"[[3795, 3930]]",False,135,44,TGA
orf_062,+,3825,0,"[[3825, 3930]]",False,105,34,TGA
orf_063,+,3945,0,"[[3945, 4263]]",False,318,105,TAA
orf_064,+,3953,2,"[[3953, 5386], [0, 136]]",True,1569,522,TGA
orf_065,+,3980,2,"[[3980, 5386], [0, 136]]",True,1542,513,TGA
orf_066,+,4097,2,"[[4097, 5386], [0, 136]]",True,1425,474,TGA
orf_067,+,4118,2,"[[4118, 5386], [0, 136]]",True,1404,467,TGA
orf_068,+,4163,2,"[[4163, 5386], [0, 136]]",True,1359,452,TGA
orf_069,+,4193,2,"[[4193, 5386], [0, 136]]",True,1329,442,TGA
orf_070,+,4262,2,"[[4262, 5386], [0, 136]]",True,1260,419,TGA
orf_071,+,4496,2,"[[4496, 5386], [0, 136]]",True,1026,341,TGA
orf_072,+,4532,2,"[[4532, 5386], [0, 136]]",True,990,329,TGA
orf_073,+,4541,2,"[[4541, 5386], [0, 136]]",True,981,326,TGA
orf_074,+,4620,0,"[[4620, 4857]]",False,237,78,TAA
orf_075,+,4632,0,"[[4632, 4857]]",False,225,74,TAA
orf_076,+,4667,2,"[[4667, 5386], [0, 136]]",True,855,284,TGA
orf_077,+,4698,0,"[[4698, 4857]]",False,159,52,TAA
orf_078,+,4743,0,"[[4743, 4857]]",False,114,37,TAA
orf_079,+,4755,0,"[[4755, 4857]]",False,102,33,TAA
orf_080,+,4787,2,"[[4787, 5386], [0, 136]]",True,735,244,TGA
orf_081,+,4881,0,"[[4881, 5064]]",False,183,60,TAG
orf_082,+,4892,2,"[[4892, 5386], [0, 136]]",True,630,209,TGA
orf_083,+,4956,0,"[[4956, 5064]]",False,108,35,TAG
orf_084,+,4991,2,"[[4991, 5386], [0, 136]]",True,531,176,TGA
orf_085,+,5039,2,"[[5039, 5386], [0, 136]]",True,483,160,TGA
orf_086,+,5074,1,"[[5074, 5386], [0, 51]]",True,363,120,TGA
orf_087,+,5135,2,"[[5135, 5386], [0, 136]]",True,387,128,TGA
orf_088,+,5153,2,"[[5153, 5386], [0, 136]]",True,369,122,TGA
orf_089,+,5159,2,"[[5159, 5386], [0, 136]]",True,363,120,TGA
orf_090,+,5168,2,"[[5168, 5386], [0, 136]]",True,354,117,TGA
orf_091,+,5267,2,"[[5267, 5386], [0, 136]]",True,255,84,TGA
orf_092,+,5345,2,"[[5345, 5386], [0, 136]]",True,177,58,TGA
orf_093,+,5363,2,"[[5363, 5386], [0, 136]]",True,159,52,TGA
orf_094,-,1175,2,"[[3920, 4211]]",False,291,96,TGA
orf_095,-,1274,2,"[[3920, 4112]]",False,192,63,TGA
orf_096,-,1431,0,"[[3823, 3955]]",False,132,43,TGA
orf_097,-,1559,2,"[[3710, 3827]]",False,117,38,TAA
orf_098,-,2083,1,"[[3159, 3303]]",False,144,47,TAG
orf_099,-,2644,1,"[[2517, 2742]]",False,225,74,TAA
orf_100,-,2990,2,"[[2303, 2396]]",False,93,30,TAA
orf_101,-,3219,0,"[[1771, 2167]]",False,396,131,TAA
orf_102,-,3735,0,"[[1093, 1651]]",False,558,185,TGA
orf_103,-,3774,0,"[[1093, 1612]]",False,519,172,TGA
orf_104,-,3808,1,"[[1473, 1578]]",False,105,34,TAA
orf_105,-,3891,0,"[[1093, 1495]]",False,402,133,TGA
orf_106,-,4017,0,"[[1093, 1369]]",False,276,91,TGA
orf_107,-,4068,0,"[[1093, 1318]]",False,225,74,TGA
orf_108,-,4164,0,"[[1093, 1222]]",False,129,42,TGA
orf_109,-,4186,1,"[[1068, 1200]]",False,132,43,TGA
orf_110,-,4335,0,"[[817, 1051]]",False,234,77,TGA
orf_111,-,4347,0,"[[817, 1039]]",False,222,73,TGA
orf_112,-,4736,2,"[[473, 650]]",False,177,58,TAA
orf_113,-,4995,0,"[[277, 391]]",False,114,37,TAA
orf_114,-,5368,1,"[[0, 18], [5215, 5386]]",True,189,62,TAA
